Date / Time	Easting	Northing	Depth
%d/%m/%Y %H:%M:%OS	m	m	m
07/05/2006 13:00:00.000	702694.3300	4143401.4300	4.9700
07/05/2006 13:00:01.167	702693.1100	4143400.5600	4.8900
07/05/2006 13:00:01.333	702692.9300	4143400.4700	4.8900
07/05/2006 13:00:01.500	702692.7500	4143400.3800	4.8900
07/05/2006 13:00:01.667	702692.5700	4143400.2900	4.8900
07/05/2006 13:00:01.833	702692.3900	4143400.1900	4.8900
07/05/2006 13:00:02.000	702692.2000	4143400.1000	4.8700
07/05/2006 13:00:02.167	702692.0200	4143399.9700	4.8700
07/05/2006 13:00:02.333	702691.8300	4143399.8300	4.8400
07/05/2006 13:00:02.500	702691.6400	4143399.7000	4.8700
07/05/2006 13:00:02.667	702691.4500	4143399.5600	4.8400
07/05/2006 13:00:02.833	702691.2600	4143399.4300	4.8400
07/05/2006 13:00:03.000	702691.0700	4143399.3000	4.8400
07/05/2006 13:00:03.167	702690.8800	4143399.2100	4.8100
07/05/2006 13:00:03.333	702690.6900	4143399.1200	4.8100
07/05/2006 13:00:03.500	702690.5100	4143399.0300	4.8100
07/05/2006 13:00:03.667	702690.3200	4143398.9400	4.7800
07/05/2006 13:00:03.833	702690.1300	4143398.8500	4.7500
07/05/2006 13:00:04.000	702689.9400	4143398.7600	4.7300
07/05/2006 13:00:04.167	702689.7400	4143398.6700	4.7200
07/05/2006 13:00:04.500	702689.3400	4143398.4900	4.6400
07/05/2006 13:00:04.667	702689.1400	4143398.3900	4.6400
07/05/2006 13:00:04.833	702688.9400	4143398.3000	4.6200
07/05/2006 13:00:05.000	702688.7400	4143398.2100	4.5900
07/05/2006 13:00:05.167	702688.5400	4143398.1000	4.5900
07/05/2006 13:00:05.333	702688.3400	4143397.9900	4.5600
07/05/2006 13:00:05.500	702688.1400	4143397.8800	4.5900
07/05/2006 13:00:05.667	702687.9300	4143397.7700	4.5600
07/05/2006 13:00:05.833	702687.7300	4143397.6600	4.5300
07/05/2006 13:00:07.000	702686.3600	4143397.1300	4.4200
07/05/2006 13:00:07.167	702686.1500	4143397.0100	4.4200
07/05/2006 13:00:07.333	702685.9500	4143396.8900	4.4200
07/05/2006 13:00:07.500	702685.7400	4143396.7800	4.3900
07/05/2006 13:00:07.667	702685.5300	4143396.6600	4.3700
07/05/2006 13:00:07.833	702685.3300	4143396.5500	4.3700
07/05/2006 13:00:08.000	702685.1200	4143396.4300	4.3500
07/05/2006 13:00:08.167	702684.9100	4143396.3200	4.3700
07/05/2006 13:00:08.333	702684.7100	4143396.2200	4.3400
07/05/2006 13:00:08.500	702684.5000	4143396.1100	4.3500
07/05/2006 13:00:08.667	702684.2900	4143396.0000	4.3500
07/05/2006 13:00:08.833	702684.0800	4143395.8900	4.3700
07/05/2006 13:00:09.000	702683.8700	4143395.7900	4.3500
07/05/2006 13:00:09.167	702683.6600	4143395.6900	4.3500
07/05/2006 13:00:09.333	702683.4500	4143395.5900	4.3500
07/05/2006 13:00:09.667	702683.0300	4143395.3900	4.2900
07/05/2006 13:00:09.833	702682.8200	4143395.2900	4.3200
07/05/2006 13:00:10.000	702682.6100	4143395.1900	4.3200
07/05/2006 13:00:10.167	702682.4100	4143395.0900	4.3200
07/05/2006 13:00:10.500	702682.0200	4143394.9000	4.2600
07/05/2006 13:00:10.667	702681.8200	4143394.8000	4.2900
07/05/2006 13:00:10.833	702681.6300	4143394.7000	4.3200
07/05/2006 13:00:11.000	702681.4300	4143394.6100	4.2900
07/05/2006 13:00:11.167	702681.2400	4143394.4700	4.2900
07/05/2006 13:00:11.333	702681.0400	4143394.3400	4.2600
07/05/2006 13:00:11.500	702680.8500	4143394.2100	4.2600
07/05/2006 13:00:11.667	702680.6500	4143394.0800	4.2600
07/05/2006 13:00:11.833	702680.4600	4143393.9400	4.2600
07/05/2006 13:00:12.000	702680.2600	4143393.8100	4.2400
07/05/2006 13:00:12.167	702680.0700	4143393.6900	4.2400
07/05/2006 13:00:12.333	702679.8800	4143393.5600	4.2600
07/05/2006 13:00:12.500	702679.6900	4143393.4400	4.2600
07/05/2006 13:00:12.667	702679.5000	4143393.3100	4.2600
