Distance	Elevation
0.00	11.961
1.49	11.738
2.51	11.471
4.08	11.331
5.69	11.301
6.98	11.296
8.84	11.239
9.90	11.227
10.54	11.009
11.52	10.727
12.71	10.542
14.16	10.486
15.33	10.389
16.66	10.467
17.45	10.463
18.65	10.328
19.65	10.252
20.82	10.215
21.35	10.190
21.90	10.372
22.44	10.619
23.05	10.903
23.75	11.214
24.33	11.366
24.76	12.510
25.40	13.267
26.32	13.335
28.07	13.285
29.37	13.338
30.12	13.492
