allposTime	motoX	motoY	temp	pH	SpCond	dep25	LDO	chlorophyll	rhodamine	SpCond_Stdev	SpCond_CoeffVar	WaterVel1_X_E	WaterVel2_Y_N	WaterVel3_Z_U	VelStDev1_X_E	VelStDev2_Y_N	VelStDev3_Z_U	SignalAmp1	SignalAmp2	SignalAmp3	PercentGoodPings	Heading	Pitch	Roll	HeadingStDev	PitchStDev	RollStDev	MeanTemp	MeanPress	StDevPress	Power	StartLoc	EndLoc	Vel_Magn	Vel_Sal_E	Vel_Sal_N	Vel_Sal_U	VelMagn_Sal	SontekVel_Magn	Vel_Magn_Stdev	Vel_Magn_CoeffVar
%F %H:%M:%OS	m	m	degC	units	uS/cm	m	mg/L	ug/L	ppb	uS/cm	units	cm/s	cm/s	cm/s	cm/s	cm/s	cm/s	counts	counts	counts	%	deg	deg	deg	deg	deg	deg	degC	count	count	V	m	m	cm/s	cm/s	cm/s	cm/s	cm/s	cm/s	cm/s	units
2007-08-10 13:43:21.46	-2	0	27.6620634920635	8.46063492063492	1567.09523809524	-2.99920634920635	9.91174603174603	15.7725396825397	2.06825396825397	4.21485194977538	0.00268959527622483	-5.79142857142857	3.31785714285714	-0.250714285714286	0	0	0	156.285714285714	150.428571428571	150	0	337.985714285714	-5.6	1.65714285714286	0	0	0	27.4328571428571	0	0	11.6	0	0.192142857142857	10.6963842620966	-74.6877536575316	42.7879397803693	-1.70336090728863	137.414343722119	6.67919744965131	13.9138627386945	1.30080056940355
2007-08-10 13:44:30.12	-1	0	27.64140625	8.46015625	1565.859375	-3.00015625	9.92734375	15.561875	2.039375	3.91929369851739	0.00250296658888502	-17.3378571428571	20.9635714285714	-3.52714285714286	0	0	0	164.857142857143	160.214285714286	160.428571428571	0	336.792857142857	-5.42857142857143	1.91428571428571	0	0	0	27.4121428571429	0	0	11.6	0	0.165142857142857	27.8495298187394	-223.404419456633	270.123029977041	-23.9447902959184	355.823058543071	27.43197685333	4.31313596650284	0.154872846851462
2007-08-10 13:45:38.78	0	0	27.6203278688525	8.46180327868853	1563.80327868852	-3	9.92311475409836	15.2836065573771	2.04655737704918	3.18234542505549	0.00203500367880309	-21.0507692307692	26.86	-4.10692307692308	0	0	0	165.384615384615	161	161.538461538462	0	337.115384615385	-4.73846153846154	1.93846153846154	0	0	0	27.3976923076923	0	0	11.6	0	0.149461538461538	34.5819439120523	-270.864729977878	345.613339229977	-27.844470637795	442.102700616517	34.3723915718250	5.7753753011361	0.167005513507970
2007-08-10 13:46:42.01	0	-0.06	27.6314754098361	8.46459016393443	1565.14754098361	-2.92967213114754	9.93655737704918	17.0619672131148	2.89262295081967	3.10824744603649	0.0019859133817398	-17.1827272727273	17.9690909090909	-2.79090909090909	0	0	0	166	161.272727272727	162.545454545455	0	337.090909090909	-4.47272727272727	2.50909090909091	0	0	0	27.3990909090909	0	0	11.6	0	0.144363636363636	27.5595280127082	-221.297601661145	231.425236465489	-18.9381673715137	353.036309250686	25.0184635455861	10.5771937340878	0.383794444128739
2007-08-10 13:47:52.81	1	0	27.6170491803279	8.46737704918033	1564.26229508197	-3.00016393442623	9.95950819672131	15.7777049180328	2.02803278688525	2.76225535474343	0.00176585177781753	-29.2984615384615	30.4323076923077	-5.83923076923077	0	0	0	163.153846153846	159.076923076923	160.230769230769	0	337.461538461538	-4.36923076923077	2.03076923076923	0	0	0	27.3792307692308	0	0	11.6	0	0.322461538461538	42.8255942411978	-377.108197026842	391.702228806341	-39.600837106107	546.867629812133	42.64530239049	2.54007730439632	0.0593121321350583
2007-08-10 13:48:56.04	1	-0.12	27.6253225806452	8.46887096774194	1563.30645161290	-2.86274193548387	9.9633870967742	17.9338709677419	2.8191935483871	4.09953499833071	0.00262234892851693	-30.408	25.9733333333333	-5.34933333333333	0	0	0	165.133333333333	161.133333333333	162.066666666667	0	337.546666666667	-3.04	3.01333333333333	0	0	0	27.3906666666667	0	0	11.6	0	0.0989333333333333	40.8603318127124	-391.132919225806	334.090558033794	-36.2564501628264	521.515549203491	40.3469438192728	7.29459223537568	0.178525036673985
2007-08-10 13:50:07.65	2	0	27.6191803278689	8.46967213114754	1563.49180327869	-3.00032786885246	9.99508196721312	16.6972131147541	2.01229508196721	3.08557369500753	0.00197351446840782	-33.8792857142857	29.9907142857143	-3.29	0	0	0	162.857142857143	158.857142857143	160.214285714286	0	337.657142857143	-3.71428571428571	2.08571428571429	0	0	0	27.3935714285714	0	0	11.6	0	0.449928571428571	45.5586702092004	-435.838879345734	385.814488985882	-22.3014217180328	584.270602097073	45.3659899470688	3.46916707771639	0.0761472418265582
2007-08-10 13:51:12.08	2	-0.2	27.6311290322581	8.48532258064516	1563.82258064516	-2.79209677419355	10.0183870967742	18.3212903225806	2.93129032258065	3.67768723453057	0.00235172920512078	-27.90875	27.05125	-3.438125	0	0	0	169.625	164.5	165.375	0	337.95625	1.15	4.1	0	0	0	27.4025	0	0	11.6	0	0.261	39.6738587688104	-359.112581603226	348.078800487097	-23.3103810290323	507.586490360941	39.0190870810764	11.8904930827947	0.299705989076676
2007-08-10 13:52:16.53	2	-0.4	27.6337288135593	8.51677966101695	1563.93220338983	-2.62983050847458	10.0211864406780	18.1728813559322	2.92474576271186	3.7868393097568	0.00242135771713685	-9.66142857142857	7.11142857142857	0.483571428571429	0	0	0	198.357142857143	198.357142857143	197.857142857143	0	337.992857142857	6.48571428571429	6.02857142857143	0	0	0	27.3907142857143	0	0	11.6	0	0.216214285714286	13.8617657190790	-124.326648334002	91.5123547843653	3.27882710397786	178.109248797261	12.0062258721830	15.327254297972	1.10572163810819
