Distance	Elevation
0.00	11.981
1.67	11.922
3.37	11.773
4.76	11.283
5.64	10.853
6.58	10.529
7.49	10.916
8.28	11.157
8.96	11.188
10.26	11.13
11.81	11.057
13.31	10.94
14.50	10.872
15.77	10.876
17.18	10.982
18.62	11.018
19.88	11.104
21.45	11.209
22.72	11.249
23.57	11.124
24.29	11.022
25.12	11.041
25.65	11.174
26.38	11.571
27.13	11.655
27.89	11.711
