Easting	Northing	Elevation
679262.9120	4135569.6800	11.2190
679263.1260	4135570.1620	11.6660
679270.0190	4135564.9150	11.0270
679270.4650	4135566.2170	11.1440
679270.8330	4135566.7780	11.5810
679277.9610	4135561.8150	11.0260
679278.2830	4135563.1760	11.1880
679278.5080	4135563.5990	11.5140
679284.7930	4135557.7930	10.9010
679285.6000	4135558.9130	11.5810
679283.3950	4135564.8290	11.8330
679271.5910	4135571.1530	11.4420
679257.0430	4135579.1570	11.6670
679232.4850	4135588.0310	10.8290
679230.2390	4135586.0710	10.4070
679238.6580	4135578.7410	11.0810
679236.0250	4135575.4080	10.7260
679238.2460	4135572.1750	10.7460
679240.5190	4135573.5120	11.0680
679247.5440	4135573.1640	11.0810
679246.8480	4135566.4440	11.0780
679246.0550	4135564.2270	10.6990
679250.5280	4135559.8690	10.5150
679252.7140	4135561.5890	11.0660
679260.2530	4135565.4460	11.0580
679263.8740	4135556.4660	11.0460
679263.1000	4135552.9180	10.7390
679262.1970	4135549.5980	10.5590
679261.3750	4135546.8300	10.3030
679265.8170	4135545.6030	10.4240
679267.6960	4135548.9960	10.7430
679269.5550	4135554.7300	11.0980
679275.3180	4135559.2020	10.9630
679275.9000	4135551.3890	11.1290
679274.4440	4135546.8240	10.7920
679271.9020	4135541.9670	10.4330
679271.1500	4135540.7120	10.2670
679276.6090	4135547.8680	10.8550
679277.6270	4135549.7000	11.1640
679302.0200	4135560.7570	11.0960
679299.0400	4135563.1180	11.1290
679293.4590	4135565.3310	11.2020
679295.6910	4135568.1580	11.1280
679298.6910	4135567.8780	11.0270
679300.8260	4135564.8990	11.0370
679302.4290	4135565.4500	11.0300
679304.3150	4135564.3650	11.1520
679307.1690	4135562.5960	11.1780
679309.2050	4135564.3210	11.3350
679306.4270	4135566.0150	11.4330
679303.5600	4135567.1960	11.2320
679301.6530	4135569.3540	11.5430
679299.3400	4135570.6640	11.1520
679297.4480	4135573.1620	11.5520
679295.4620	4135574.6450	11.1880
679292.8250	4135577.8290	11.5190
679291.7800	4135577.2560	11.1060
679294.1340	4135573.7220	11.0430
679296.9850	4135570.3940	11.0070
679299.0610	4135565.7250	11.0630
679294.1860	4135565.7810	11.1840
679284.8480	4135571.0580	11.2840
679287.0520	4135575.8170	11.1200
679289.2650	4135579.8580	11.0140
679291.4630	4135579.4420	11.1910
679295.2000	4135576.8670	11.6330
679299.2410	4135575.8490	11.3220
679302.5280	4135573.7720	11.6630
679307.0880	4135572.1600	11.2520
679309.6580	4135570.6200	11.6790
679313.1560	4135570.0160	11.2870
679314.7260	4135568.9750	11.8720
679317.0550	4135568.6140	11.2820
679318.1160	4135569.2450	10.7750
679318.3250	4135568.5110	11.2580
679317.9220	4135567.7490	11.8630
679316.9690	4135567.6800	11.8480
679320.5460	4135565.7460	11.8740
679321.0880	4135563.8470	11.5350
679317.0410	4135565.5910	11.7920
679313.2900	4135563.6260	11.4210
679310.7540	4135568.0880	11.7830
679305.0680	4135566.8480	11.4380
679302.3390	4135571.9530	11.6770
679298.1050	4135574.6610	11.6710
679306.2640	4135562.3660	11.1690
679304.3450	4135559.9280	10.8730
679306.5000	4135560.1150	11.1290
679310.3280	4135562.2870	11.2840
679316.5110	4135569.8140	10.7890
679314.9130	4135571.2270	10.8330
679313.2240	4135571.9770	11.1220
679308.0560	4135574.6250	11.1540
679303.2690	4135576.8880	11.1520
679298.2820	4135579.3240	11.1270
679293.2610	4135581.8020	11.0910
679293.8270	4135584.0250	11.1130
679297.2450	4135583.3210	11.1490
679300.9590	4135582.6800	11.1600
679301.9730	4135582.4070	11.0600
679303.7890	4135581.8560	11.1590
679307.1920	4135580.3400	10.9370
679310.4600	4135578.2170	11.0140
679311.6260	4135575.9070	11.0670
679314.4990	4135574.5720	11.0110
679315.2540	4135572.9700	11.1230
679316.4820	4135572.5440	10.8420
679316.7640	4135571.1890	11.1020
679317.6590	4135571.4120	10.5820
679319.1420	4135571.9920	10.9620
679317.7020	4135573.6930	11.0300
679315.7250	4135575.5770	10.9860
679313.7890	4135579.7880	11.0650
679311.1880	4135582.2610	11.0580
679305.6460	4135585.8980	11.0440
679300.5940	4135587.5580	11.0330
679294.9240	4135588.3580	10.9900
679286.6860	4135588.6060	10.8260
679285.8360	4135590.0450	11.1490
679287.7970	4135589.6110	10.9730
679290.1500	4135589.1870	10.8480
679292.0220	4135589.7340	10.7050
679292.1130	4135587.7580	10.9680
679294.1980	4135588.8570	10.8810
679293.2310	4135590.5330	11.0830
679296.2860	4135590.7420	10.9910
679299.1180	4135589.9460	10.9490
679302.5880	4135589.5910	11.0080
679303.3360	4135586.6310	11.0450
679306.6100	4135587.4200	11.1310
679308.2960	4135587.7520	11.0540
679307.4200	4135589.7710	11.3370
679305.0970	4135590.3620	11.2330
679309.9100	4135585.7650	11.1920
679305.5020	4135584.4510	11.0310
679311.3970	4135581.3180	11.0020
679314.9870	4135579.4530	11.0640
679319.3540	4135577.3940	11.0720
679324.1680	4135575.2330	11.1110
679327.2010	4135575.0500	11.3110
679327.1840	4135576.0250	11.6480
679325.9830	4135575.8120	11.2510
679325.3300	4135577.1180	11.5660
679324.0900	4135576.7870	11.2120
679323.0540	4135578.3440	11.2640
679319.8910	4135580.3940	11.1950
679317.4310	4135582.4760	11.1420
679318.6700	4135583.9900	11.3480
679322.1030	4135581.2580	11.2400
679323.7140	4135580.0280	11.1880
679325.7770	4135578.2760	11.2640
679327.0550	4135577.3300	11.4520
679328.4020	4135579.0420	11.0230
679329.5820	4135580.2390	11.0460
679331.1310	4135581.1780	11.2610
679328.0770	4135581.3130	11.3370
679325.3080	4135581.6040	11.3490
679325.9490	4135579.8860	11.1470
679328.5980	4135575.7020	11.6590
679329.0170	4135576.2680	11.4910
679329.0100	4135576.2340	11.4740
679329.6130	4135576.7680	11.1060
679330.2030	4135577.3430	10.7510
679331.0450	4135578.0420	10.7440
679332.0710	4135579.1720	10.9370
679333.3400	4135580.4580	11.3610
679331.2700	4135579.8830	10.9990
679330.1210	4135578.7860	10.8590
679328.8470	4135579.5760	11.0520
679334.7610	4135580.4230	11.8390
679336.0410	4135581.5220	12.3880
679337.4290	4135582.8940	14.4020
679332.7950	4135581.1160	11.5080
679330.0290	4135586.1830	13.2350
679326.0790	4135584.2620	11.8190
679326.0360	4135581.9280	11.7320
679323.3330	4135581.6720	11.7180
679319.7750	4135584.0680	11.5460
679321.9590	4135587.8900	12.4740
679311.8930	4135587.8560	11.4460
679313.4830	4135590.7450	12.4030
679316.3450	4135595.0790	13.5610
679307.0750	4135590.6380	11.7060
679309.6510	4135595.0260	12.3830
679310.7510	4135601.3530	13.5050
679302.7350	4135598.6800	12.2010
679299.4750	4135596.2840	11.6980
679299.7020	4135591.5880	11.6630
679294.9060	4135591.1850	11.7300
679286.8960	4135590.7520	11.8150
679281.9970	4135590.3130	11.7210
679276.9640	4135592.2800	11.7090
679273.2260	4135593.9370	11.4060
679267.1140	4135598.4450	11.2540
679258.5270	4135605.2240	11.3840
679262.9370	4135608.1390	11.5540
679265.2560	4135610.6020	11.3580
679266.7730	4135607.9920	11.6330
679269.0400	4135609.7520	11.9130
679273.6150	4135611.8860	11.6560
679289.7930	4135589.5720	10.8200
679286.8390	4135588.8260	10.8160
679284.7480	4135590.1540	11.0520
679282.0080	4135588.6130	10.7140
679280.9100	4135589.1810	11.1290
679278.3170	4135588.5080	10.7330
679276.9190	4135589.6260	11.0200
679274.6370	4135592.3560	11.1490
679273.1220	4135590.3050	10.9660
679271.5830	4135588.5100	10.6760
679270.1040	4135586.6300	10.8120
679267.4260	4135584.3240	11.0810
679264.4810	4135583.4280	11.1950
679264.2450	4135588.0830	10.8810
679264.4860	4135591.5350	10.8870
679264.9760	4135593.5860	11.0690
679265.9260	4135595.9140	11.0830
679262.5060	4135600.2110	11.0840
679261.7930	4135602.3130	11.5190
679257.0930	4135599.3730	11.0980
679251.6870	4135597.5350	11.0670
679246.5680	4135596.8460	10.9950
679240.9840	4135594.8380	10.9930
679241.0790	4135600.5890	11.0310
679242.2840	4135605.6050	11.1890
679243.7540	4135610.3200	11.1620
679247.4110	4135614.1490	11.2180
679249.5610	4135616.3040	11.4320
679251.1470	4135617.6130	11.3840
679258.7650	4135620.5120	12.0820
679260.9140	4135621.1930	12.0250
679262.6130	4135620.3810	11.8440
679269.7870	4135624.7350	11.8900
679271.2210	4135615.5240	11.6300
679266.5940	4135590.3620	10.8710
679269.7190	4135585.9760	10.8400
679274.7520	4135584.0380	10.9210
679280.6490	4135580.9270	11.0350
679280.8240	4135575.7070	11.2610
679284.8300	4135579.1090	11.0550
679286.0200	4135581.8290	10.8570
679285.7680	4135584.0200	11.0380
679280.5730	4135586.9950	10.8170
679279.2660	4135590.0480	11.1980
679270.1790	4135586.2320	10.7920
679264.9850	4135586.8920	10.9360
679270.8160	4135579.4990	11.2040
679276.1320	4135578.7360	11.3030
679274.2100	4135536.3880	10.1580
679272.9770	4135535.4530	10.8640
679272.6560	4135534.9060	11.7380
679270.5660	4135537.5830	10.4080
679268.0710	4135537.2910	11.2330
679268.8640	4135537.7470	10.6860
679267.6860	4135536.6000	11.9450
679265.2070	4135540.8510	10.5030
679262.6790	4135540.8460	10.9670
679262.0160	4135540.4090	11.9210
679261.6240	4135543.0140	10.3810
679259.7900	4135542.9440	10.6520
679259.3390	4135542.7220	11.9040
679257.9800	4135543.4500	11.9230
679258.3160	4135543.8250	10.3820
679256.5930	4135545.0140	10.3610
679256.2070	4135544.8450	11.5640
679255.7200	4135544.6230	12.1500
679253.4260	4135546.2060	12.1270
679251.7180	4135547.8000	11.7520
679252.6310	4135547.8600	11.1560
679252.5290	4135548.4800	10.2710
679247.6080	4135549.8170	11.8610
679248.1930	4135550.5190	10.9430
679248.2970	4135551.4510	10.6950
679249.3590	4135551.3550	10.7370
679247.3010	4135552.2530	10.5680
679245.6770	4135550.7510	11.7460
679243.8560	4135552.4680	11.1890
679244.8730	4135553.4930	10.7280
679245.1070	4135553.9620	10.2700
679242.2870	4135552.9810	11.8950
679241.8410	4135555.9490	10.5130
679242.3330	4135556.4160	10.4060
679244.1070	4135554.9220	10.3450
679240.7730	4135553.7780	11.9340
679240.3720	4135557.3060	10.4830
679238.5530	4135556.8570	10.9120
679237.6510	4135556.9650	11.8070
679237.9340	4135559.0600	10.3450
679235.6600	4135558.9610	10.9180
679235.0890	4135558.8710	11.8290
679234.8710	4135560.7580	10.5240
679232.9890	4135560.6970	11.8110
679233.6050	4135561.4360	10.4690
679232.5980	4135562.9020	10.3690
679231.7070	4135561.5220	11.9740
679231.7830	4135564.6240	10.1830
679228.8890	4135564.0820	12.0380
679228.7430	4135565.1180	11.2500
679229.4040	4135566.1730	10.5060
679229.5620	4135566.7120	10.2610
679226.9220	4135566.3720	11.8290
679227.8880	4135568.0300	10.3250
679225.5930	4135568.7770	11.2000
679224.5520	4135569.2390	11.9800
679225.3200	4135571.6290	10.2210
679223.3660	4135572.7080	11.5640
679223.2310	4135574.1880	10.4680
679221.0370	4135574.2590	12.4420
679221.9310	4135575.7360	10.6750
679219.7260	4135577.9130	12.3050
679241.2360	4135627.7190	11.5350
679252.8250	4135585.4050	11.5770
679254.6790	4135577.0060	11.7480
679260.3740	4135577.7040	11.5550
679265.9300	4135576.7580	11.4580
679264.6160	4135572.3940	11.6150
679271.0000	4135570.8990	11.4540
679271.4360	4135573.0480	11.5330
679270.4030	4135575.5640	11.6830
679277.5300	4135570.4740	11.6940
679277.5230	4135568.6270	11.7170
679277.3260	4135567.5390	11.5210
679281.4530	4135563.6850	11.5290
679281.9940	4135564.0640	11.7050
679282.6570	4135564.4470	11.8420
679288.5280	4135563.5310	11.8400
679289.0310	4135560.2970	11.8600
679292.4520	4135561.4130	11.8060
679295.9660	4135557.3080	11.9760
679299.0160	4135557.4270	12.0220
679302.2000	4135555.1900	11.9960
679304.7770	4135555.6110	12.0430
679299.0500	4135560.4210	11.2630
679298.7560	4135559.8500	11.4590
679298.4950	4135559.4900	11.7170
679293.3580	4135563.6480	11.2800
679293.0960	4135563.2880	11.4540
679292.7980	4135562.8590	11.7550
679288.6120	4135566.4540	11.4240
679288.4500	4135566.1990	11.6710
679283.3620	4135569.6360	11.3810
679283.2510	4135569.2200	11.6430
679277.8740	4135573.6260	11.2450
679277.4030	4135572.8920	11.4120
679277.2700	4135572.6830	11.6760
679273.5850	4135578.4310	11.3050
679272.4440	4135577.0580	11.1890
679271.6780	4135576.2220	11.4040
679271.3860	4135575.8630	11.6940
679269.6450	4135581.5840	11.1950
679267.6820	4135579.7910	11.2790
679267.1910	4135579.2910	11.5550
679266.0880	4135584.2890	11.0470
679264.7830	4135583.2190	11.2360
679263.7980	4135582.1450	11.3360
679263.6670	4135581.7500	11.5220
679261.1320	4135588.5910	10.8600
679258.9880	4135587.3320	10.9600
679257.5690	4135586.3470	11.2030
679256.2120	4135585.5080	11.5070
679251.1370	4135586.4630	11.5850
679247.0580	4135584.5700	11.7710
679247.9510	4135586.8470	11.6370
679248.1230	4135587.2760	11.3640
679248.4540	4135588.1910	11.3860
679248.5650	4135589.3080	11.0980
679244.1530	4135592.3270	11.0140
679246.5380	4135595.5870	11.0900
679251.4710	4135598.6800	11.1670
679255.7580	4135601.3080	11.1560
679258.4140	4135603.6670	11.1420
679258.8770	4135604.2090	11.3280
679259.6460	4135604.7490	11.4870
679245.3430	4135616.8610	11.2250
679245.4870	4135612.3570	11.1560
679244.4870	4135608.9720	11.2330
679242.7800	4135605.1390	11.2470
679240.0100	4135599.9330	11.1230
679236.3710	4135598.7790	11.0400
679233.4590	4135596.3620	11.0660
679231.7660	4135592.5320	11.0560
679231.2890	4135591.4940	10.9240
679230.3530	4135592.3570	10.6530
679229.3770	4135594.0600	10.5170
679229.5440	4135596.7190	11.0260
679228.6600	4135596.7220	10.7290
679228.0640	4135597.2590	10.5710
679227.3820	4135601.2250	10.9440
679226.4130	4135601.1170	10.5510
679226.1450	4135603.9710	10.9510
679225.0240	4135603.9720	10.5380
679225.7120	4135606.1510	11.0390
679224.4520	4135606.3890	10.5170
679223.8900	4135607.6740	10.4430
679224.9490	4135608.1870	10.8600
679225.2440	4135606.8710	10.8240
679222.7020	4135609.3900	10.4400
679224.0630	4135610.2010	10.8310
679224.0160	4135611.8950	10.8850
679223.5320	4135613.4880	10.9240
679223.2470	4135615.5240	10.9290
679221.7310	4135614.6700	10.6750
679219.6880	4135613.2160	10.4530
679220.6460	4135611.8080	10.4080
679222.0410	4135609.9360	10.3570
679222.7190	4135608.5410	10.3110
679223.6320	4135606.9540	10.3450
679223.1520	4135605.7310	10.2470
679225.3430	4135604.9150	10.7790
679224.6950	4135613.0650	11.2570
679225.0550	4135610.2650	11.2190
679225.8420	4135607.6680	11.2050
679225.8730	4135606.0410	11.0260
679228.3380	4135606.1650	11.1580
679227.3000	4135604.5870	11.0240
679226.4870	4135603.3070	10.9390
679227.2650	4135601.7940	10.9120
679228.0340	4135600.0620	10.9450
679230.0240	4135600.8180	10.9750
679230.6100	4135603.0210	11.0480
679228.7840	4135604.3160	11.0990
679227.9650	4135606.6780	11.1770
679227.1860	4135610.0850	11.2260
679226.0590	4135614.1040	11.3110
679229.3080	4135611.4800	11.2740
679232.0230	4135608.5890	11.1540
679235.2040	4135606.0580	11.2180
679239.3610	4135601.5200	11.1850
679235.3450	4135600.8830	10.9130
679232.8670	4135602.6860	11.1890
679233.0820	4135604.4010	11.2870
679235.0580	4135608.3950	11.2310
679238.6020	4135608.8360	11.2680
679243.6870	4135607.5260	11.2310
679250.3370	4135604.3570	11.2080
679255.5130	4135602.7620	11.1650
679256.3190	4135597.7970	11.1080
679258.1090	4135592.8030	10.9290
679260.6350	4135587.6710	10.8970
679261.8360	4135585.5160	11.0670
679262.7040	4135583.4320	11.2570
679266.0110	4135584.1650	11.0420
679268.6500	4135585.6340	10.9840
679271.0860	4135586.7650	10.8160
679274.6270	4135588.0860	10.7230
679276.4080	4135589.9120	10.9860
679278.4740	4135591.4020	11.8010
679279.4070	4135590.2600	11.1490
679279.4580	4135588.5430	10.7970
679281.9260	4135585.8310	10.8030
679284.4780	4135584.5260	11.0850
679286.4830	4135582.9860	11.0700
679289.6930	4135580.6070	11.1320
679289.9740	4135576.6130	11.1600
679293.8230	4135573.9840	11.0710
679293.0280	4135571.1730	11.1860
679297.0240	4135569.5910	11.0510
679299.3450	4135569.9240	11.0820
679299.8610	4135570.2610	11.2840
679300.1040	4135570.6760	11.6660
679295.8640	4135576.0340	11.6580
679298.4500	4135574.3240	11.6890
679299.8050	4135572.1980	11.6970
679302.2100	4135571.4340	11.6990
679303.1620	4135569.2430	11.6190
679306.1650	4135568.1540	11.6480
679307.0630	4135570.7310	11.7150
679310.4690	4135569.3270	11.7880
679310.3950	4135566.9500	11.6580
679306.9770	4135567.2540	11.5390
679314.4150	4135565.6490	11.6740
679316.4700	4135562.4180	11.3850
679317.5010	4135564.1580	11.5950
679319.9990	4135565.7850	11.8910
679321.1860	4135564.5260	11.8490
679321.0820	4135563.3910	11.4370
679320.9780	4135561.9980	11.3070
679318.2350	4135560.5200	11.2340
679315.9470	4135558.5270	11.2060
679313.2630	4135556.6650	11.0730
679310.6850	4135554.8080	11.0580
679309.4540	4135553.6160	11.0800
679309.5150	4135552.4950	11.0360
679308.9240	4135553.3940	10.7600
679308.2290	4135553.9920	10.5630
679308.5590	4135554.4540	10.8730
679308.8460	4135555.1890	11.0850
679307.0410	4135555.4470	10.5730
679307.4810	4135556.2620	10.6760
679308.4090	4135556.8830	11.1420
679305.6040	4135557.2510	10.7560
679306.4210	4135558.4770	10.7790
679307.0320	4135559.4130	11.1580
679305.2130	4135560.2150	10.8850
679303.8460	4135559.7470	10.8050
679304.0520	4135558.9890	10.8080
679308.3140	4135559.7280	11.1760
679310.7700	4135560.6270	11.1590
679312.6100	4135559.1270	11.2910
679310.7930	4135556.5490	11.0960
679313.5700	4135562.3030	11.3530
679310.0620	4135563.8430	11.3320
679302.5740	4135561.6810	10.8970
679299.8190	4135563.8110	11.0700
679295.4140	4135565.5600	11.2110
679290.4050	4135567.6970	11.2600
679284.5860	4135570.2840	11.3440
679282.4660	4135574.5660	11.2310
679277.8610	4135577.5110	11.2960
679272.7970	4135578.6660	11.2930
679271.8570	4135578.7140	11.2070
679269.6560	4135578.0370	11.2910
679268.7340	4135577.6060	11.6980
679268.6350	4135587.7320	10.6820
679263.6560	4135589.8190	10.9100
679259.3440	4135593.3510	11.0030
679253.7990	4135597.4780	11.0460
679249.3450	4135604.7640	11.1710
679250.4280	4135611.7170	11.2100
679287.2440	4135590.8660	11.8290
679287.3660	4135593.5370	11.8260
679285.2400	4135595.5550	11.8670
679285.7510	4135609.6990	11.8680
679281.4610	4135611.8900	11.9400
679280.5710	4135592.1560	11.7950
679278.5570	4135595.5530	11.7020
679276.2880	4135598.9580	11.7080
679273.1570	4135600.4490	11.5550
679270.2500	4135598.3160	11.5250
679267.3960	4135599.0900	11.3940
679266.2580	4135599.3920	11.7720
679265.4400	4135599.6060	11.7960
679264.0520	4135600.1730	11.2480
679262.7830	4135603.0360	11.4540
679258.7950	4135615.1090	12.3150
679260.3190	4135623.0610	11.7460
679263.6110	4135626.1610	11.5520
679262.4710	4135631.6340	11.8120
679258.7540	4135639.0210	11.9810
679253.7650	4135645.6090	11.8800
679250.7330	4135649.7320	11.7160
679247.7740	4135656.1380	11.7270
679243.3970	4135662.4740	11.5710
679236.7430	4135665.6620	11.6270
679233.3950	4135666.4530	11.5240
679232.5980	4135666.3600	11.3010
679231.5200	4135666.3010	11.0200
679230.7520	4135666.4420	10.6520
679233.6260	4135663.1550	11.6420
679235.9150	4135663.2180	11.6630
679240.8480	4135661.9670	11.5350
679242.8910	4135656.9310	11.5760
679238.1170	4135652.9040	11.7120
679236.2380	4135651.4410	11.2370
679235.2650	4135651.2740	10.8720
679243.6810	4135644.7550	11.8310
679238.2340	4135642.5020	11.5520
679236.8430	4135641.7840	11.0650
679243.9880	4135579.3960	11.1990
679240.9980	4135580.5130	11.1320
679238.0730	4135581.4240	11.1010
679236.6060	4135580.7600	11.0440
679238.1800	4135578.6200	11.0760
679239.0860	4135577.6760	11.0320
679240.8540	4135578.4970	11.0920
679243.3630	4135577.2210	11.0860
679245.4470	4135572.6840	11.0290
679249.9990	4135569.1780	11.0500
679252.0400	4135563.6020	11.0560
679251.6520	4135560.0300	10.7070
679255.4820	4135563.3250	11.0920
679263.2680	4135563.9750	11.0250
679270.9840	4135561.3760	10.9700
679267.4430	4135553.4950	10.9870
679272.8060	4135549.1600	10.8880
679272.9000	4135557.2750	11.0400
679266.2640	4135562.9300	10.9970
679256.8400	4135560.6940	11.1050
679248.1220	4135562.3430	10.6080
679246.8260	4135562.7740	10.4830
679246.6240	4135564.5900	10.8480
679239.0280	4135572.5910	10.8710
679236.8580	4135580.3310	11.0250
679232.0240	4135585.5530	10.7690
679232.2830	4135590.9650	11.0990
679226.0260	4135605.4730	11.0190
679224.9850	4135613.3600	11.3000
679223.5840	4135613.2730	10.8990
679222.0170	4135612.9950	10.6420
679220.7850	4135612.7950	10.4920
679217.6290	4135616.8830	10.4720
679220.0180	4135619.2150	10.6410
679222.2280	4135620.9290	10.8540
679224.5040	4135622.1200	11.1920
679229.4410	4135625.3400	11.1750
679229.4520	4135631.4410	11.2420
679223.5970	4135635.3010	11.2510
679221.3330	4135636.7860	10.8910
679214.4770	4135639.7920	10.6510
679206.1640	4135645.8650	10.5950
679203.8590	4135644.2960	10.4950
679211.1710	4135647.9390	10.5230
679211.9530	4135659.3300	10.8930
679205.6960	4135677.6760	10.8670
679197.9530	4135675.3780	10.6970
679193.2980	4135674.5020	10.4690
679190.6940	4135673.6630	10.3810
679190.6840	4135671.4510	10.4230
679190.0250	4135669.8260	10.8610
