Easting	Northing	Elevation
m	m	m
679181.8660	4135665.9430	15.2880
679277.4350	4135566.2670	11.4640
679295.9210	4135543.3150	10.4780
679296.1900	4135543.3130	10.7310
679296.6410	4135543.6900	10.8720
679297.4540	4135544.5470	10.9150
679300.4870	4135546.9520	11.0250
679304.3170	4135549.6540	11.0380
679306.7510	4135551.1210	10.9730
679307.6360	4135551.5910	11.0570
679307.8490	4135551.6630	10.7650
679308.1190	4135552.0480	10.5400
679307.6480	4135552.5560	10.8600
679307.2280	4135553.0700	11.2000
679306.6010	4135552.5950	11.3180
679306.0420	4135552.0020	11.1620
679305.5180	4135552.9450	11.3500
679304.4400	4135552.0540	11.1320
679299.9510	4135549.4850	11.0320
679295.9820	4135547.1360	11.0360
679294.8470	4135546.5010	11.0050
679294.4050	4135546.1920	10.7070
679294.1100	4135545.9230	10.4230
679293.1000	4135547.4170	10.5130
679293.8210	4135548.3400	11.0200
679297.1290	4135551.6600	11.0930
679298.7000	4135553.2150	11.2380
679298.7740	4135553.5880	11.3950
679299.0320	4135554.1590	11.8410
679296.2560	4135554.5720	11.8330
679296.2550	4135554.5750	11.8330
679296.0770	4135554.1030	11.3420
679294.2750	4135552.2150	11.1480
679292.1630	4135550.5130	11.0860
679291.6130	4135550.0090	10.6910
679291.3660	4135549.6610	10.4410
679289.6790	4135551.3240	10.5060
679290.4300	4135552.1290	10.9480
679287.8920	4135552.1190	10.4770
679286.3090	4135552.3460	10.6250
679284.4090	4135552.5690	10.8780
679283.2780	4135554.4130	10.8470
679283.5650	4135557.3980	10.9190
679283.4740	4135559.0870	11.0080
679283.6730	4135559.7020	11.2940
679279.3500	4135562.7760	11.2620
679278.5470	4135561.1220	11.0190
679277.2650	4135557.9850	10.9450
679276.8260	4135556.8460	10.9980
679276.0740	4135554.6180	11.0840
679275.8490	4135551.1590	11.1510
679276.1300	4135549.2840	11.0630
679276.1260	4135548.2330	10.8630
679276.0340	4135546.7260	10.8060
679275.7510	4135544.3850	10.7820
679275.3220	4135542.5210	10.6630
679274.2900	4135540.9090	10.4590
679273.8430	4135540.2260	10.3270
679276.8720	4135538.9850	10.3610
679276.6240	4135538.0020	10.2700
679278.0880	4135538.0060	10.3920
679280.2290	4135537.5090	10.3150
679281.7110	4135539.9300	10.4960
679280.0020	4135541.5900	10.6420
679278.4280	4135544.0520	10.8000
679277.1210	4135547.6350	10.8960
679276.7500	4135549.2230	11.0780
679276.7710	4135550.2370	11.1680
679276.9470	4135551.5920	11.1400
679277.1460	4135554.1390	11.0380
679279.0540	4135556.7960	11.0080
679280.4950	4135558.6000	10.9420
679281.8840	4135559.8490	11.0050
679282.4360	4135560.4130	11.1590
679282.7870	4135560.8850	11.5060
679285.3070	4135558.9850	11.5410
679284.8620	4135558.0850	11.0210
679284.0370	4135556.4490	10.8710
679284.0490	4135555.1130	10.7050
679283.5410	4135553.3450	10.8490
679282.8860	4135551.6420	11.0770
679282.6940	4135548.9590	11.0800
679282.9590	4135545.3360	11.0070
679284.2890	4135543.6050	10.8660
679284.6600	4135543.0670	10.8960
679286.2470	4135545.4450	11.1930
679285.7540	4135546.7220	11.2750
679285.6370	4135547.7710	10.9350
679285.9250	4135549.0140	10.8720
679286.1010	4135550.9770	10.8910
679286.6880	4135551.9040	10.5730
679286.3780	4135553.4810	10.6480
679286.3000	4135555.4230	10.6950
679286.7420	4135556.4700	10.9470
679287.2840	4135557.3180	11.3620
679287.5600	4135557.4130	11.6990
679289.3590	4135556.6510	11.8020
679289.0530	4135555.8230	11.2500
679288.7820	4135554.9890	10.9570
679288.2430	4135554.2560	10.8930
679287.7710	4135552.6370	10.6790
679287.9360	4135551.7410	10.4490
679287.9170	4135550.5220	10.5760
679287.8930	4135549.0830	10.3680
679288.1520	4135548.7040	10.2050
679287.6930	4135547.9840	10.5000
679288.4130	4135547.8300	10.2440
679287.1650	4135549.9150	10.9130
679289.1070	4135550.1590	10.3160
679288.6080	4135551.7870	10.5480
679287.5270	4135553.3890	10.7230
679288.4220	4135554.0030	10.8630
679289.3310	4135552.3150	10.7630
679290.4630	4135550.9620	10.5880
679291.7480	4135549.7370	10.6600
679290.9970	4135549.1370	10.2680
679292.0400	4135548.2940	10.3770
679293.0840	4135547.4290	10.5520
679294.1170	4135548.1970	11.0430
679292.9110	4135549.5860	11.0600
679291.2760	4135551.8510	11.1140
679289.4000	4135554.2900	11.1560
679289.4960	4135555.8240	11.3610
679289.6940	4135556.4610	11.8140
679293.4850	4135554.5490	11.3010
679293.8860	4135555.1540	11.8270
679296.2980	4135551.1680	11.0740
679299.2670	4135553.3240	11.2980
679299.5790	4135554.0450	11.8180
679301.2720	4135555.8460	12.0150
679301.7670	4135557.6780	11.9590
679304.8040	4135555.9960	12.0420
679306.4280	4135553.8160	11.9190
679306.5270	4135553.1300	11.3290
679303.0200	4135553.1790	11.3440
679303.1090	4135553.8080	11.8270
679303.1140	4135558.7950	11.0500
679303.4380	4135559.1530	10.8720
679300.8260	4135558.3030	12.0160
679298.4350	4135559.5610	11.7140
679298.8180	4135560.1150	11.3160
679293.0870	4135562.8690	11.7320
679293.1690	4135563.7620	11.3560
679286.8590	4135566.9030	11.6430
679286.9870	4135567.2160	11.4510
679278.5550	4135571.7690	11.6750
679278.7460	4135572.3570	11.3530
679270.4330	4135576.6170	11.6480
679270.7350	4135577.0660	11.3300
679262.5430	4135582.3440	11.5140
679262.6920	4135582.7060	11.3200
679252.4950	4135586.5050	11.5750
679252.0260	4135588.2730	11.2070
679243.9080	4135586.9640	11.6070
679240.9840	4135588.7740	11.2970
679233.9820	4135591.2120	11.2050
679240.9570	4135583.7760	11.3030
679244.8900	4135582.4300	11.4320
679246.0750	4135582.3530	11.8230
679245.7080	4135576.2410	11.1330
679246.9390	4135577.7910	11.3000
679247.3290	4135578.3620	11.8230
679254.1420	4135572.3720	11.1100
679254.7510	4135573.7710	11.3290
679254.8350	4135574.0710	11.7410
679262.4410	4135568.6160	11.0850
