Date / Time	Easting	Northing	Depth
%d/%m/%Y %H:%M:%OS	m	m	m
06/01/2001 01:01:59.000	727972.52	4138308.65	3.12
06/01/2001 01:01:59.200	727972.51	4138308.68	3.12
06/01/2001 01:01:59.400	727972.50	4138308.72	3.17
06/01/2001 01:01:59.600	727972.49	4138308.75	3.17
06/01/2001 01:01:59.800	727972.47	4138308.78	3.12
06/01/2001 01:02:00.000	727972.46	4138308.81	3.12
06/01/2001 01:02:00.167	727972.46	4138308.84	3.12
06/01/2001 01:02:00.333	727972.46	4138308.86	3.12
06/01/2001 01:02:00.500	727972.46	4138308.89	3.23
06/01/2001 01:02:00.667	727972.46	4138308.92	3.15
06/01/2001 01:02:00.833	727972.46	4138308.94	3.15
06/01/2001 01:02:01.000	727972.46	4138308.97	3.18
06/01/2001 01:02:01.167	727972.45	4138309.00	3.12
06/01/2001 01:02:01.333	727972.44	4138309.03	3.12
06/01/2001 01:02:01.500	727972.43	4138309.05	3.12
06/01/2001 01:02:01.667	727972.42	4138309.08	3.12
06/01/2001 01:02:01.833	727972.41	4138309.11	3.12
06/01/2001 01:02:02.000	727972.41	4138309.14	3.12
06/01/2001 01:02:02.167	727972.40	4138309.15	3.20
06/01/2001 01:02:02.333	727972.39	4138309.16	3.15
06/01/2001 01:02:02.500	727972.39	4138309.17	3.23
06/01/2001 01:02:02.667	727972.38	4138309.18	3.18
06/01/2001 01:02:02.833	727972.38	4138309.19	3.17
06/01/2001 01:02:03.000	727972.37	4138309.20	3.20
06/01/2001 01:02:03.167	727972.36	4138309.22	3.23
06/01/2001 01:02:03.333	727972.35	4138309.24	3.20
06/01/2001 01:02:03.500	727972.35	4138309.26	3.12
06/01/2001 01:02:03.667	727972.34	4138309.28	3.12
06/01/2001 01:02:03.833	727972.33	4138309.30	3.15
06/01/2001 01:02:04.000	727972.32	4138309.31	3.12
06/01/2001 01:02:04.167	727972.31	4138309.34	3.12
06/01/2001 01:02:04.333	727972.30	4138309.36	3.12
06/01/2001 01:02:04.500	727972.30	4138309.39	3.12
06/01/2001 01:02:04.667	727972.29	4138309.42	3.15
06/01/2001 01:02:04.833	727972.28	4138309.44	3.15
06/01/2001 01:02:05.000	727972.27	4138309.47	3.17
06/01/2001 01:02:05.167	727972.28	4138309.48	3.17
06/01/2001 01:02:05.333	727972.28	4138309.50	3.15
06/01/2001 01:02:05.500	727972.29	4138309.52	3.17
06/01/2001 01:02:05.667	727972.29	4138309.54	3.20
06/01/2001 01:02:05.833	727972.30	4138309.56	3.12
06/01/2001 01:02:06.000	727972.31	4138309.58	3.15
06/01/2001 01:02:06.167	727972.31	4138309.59	3.15
06/01/2001 01:02:06.333	727972.31	4138309.61	3.23
06/01/2001 01:02:06.500	727972.31	4138309.62	3.23
06/01/2001 01:02:06.667	727972.31	4138309.63	3.24
06/01/2001 01:02:06.833	727972.31	4138309.65	3.23
06/01/2001 01:02:07.000	727972.31	4138309.66	3.23
06/01/2001 01:02:07.167	727972.31	4138309.68	3.23
06/01/2001 01:02:07.333	727972.31	4138309.69	3.23
06/01/2001 01:02:07.500	727972.31	4138309.70	3.15
06/01/2001 01:02:07.667	727972.31	4138309.71	3.23
06/01/2001 01:02:07.833	727972.31	4138309.72	3.23
06/01/2001 01:02:08.000	727972.31	4138309.73	3.23
06/01/2001 01:02:08.167	727972.30	4138309.75	3.21
06/01/2001 01:02:08.333	727972.30	4138309.76	3.23
06/01/2001 01:02:08.500	727972.30	4138309.78	3.26
06/01/2001 01:02:08.667	727972.29	4138309.79	3.23
06/01/2001 01:02:08.833	727972.29	4138309.81	3.24
06/01/2001 01:02:09.000	727972.29	4138309.82	3.23
06/01/2001 01:02:09.167	727972.30	4138309.82	3.24
06/01/2001 01:02:09.333	727972.31	4138309.83	3.15
06/01/2001 01:02:09.500	727972.31	4138309.83	3.15
06/01/2001 01:02:09.667	727972.32	4138309.83	3.15
06/01/2001 01:02:09.833	727972.33	4138309.83	3.26
06/01/2001 01:02:10.000	727972.34	4138309.83	3.24
06/01/2001 01:02:10.167	727972.34	4138309.84	3.26
06/01/2001 01:02:10.333	727972.34	4138309.85	3.26
06/01/2001 01:02:10.500	727972.34	4138309.86	3.23
06/01/2001 01:02:10.667	727972.34	4138309.87	3.23
06/01/2001 01:02:10.833	727972.34	4138309.87	3.23
06/01/2001 01:02:11.000	727972.34	4138309.88	3.15
06/01/2001 01:02:11.167	727972.34	4138309.89	3.24
06/01/2001 01:02:11.333	727972.34	4138309.90	3.26
06/01/2001 01:02:11.500	727972.34	4138309.91	3.23
06/01/2001 01:02:11.667	727972.35	4138309.92	3.32
06/01/2001 01:02:11.833	727972.35	4138309.93	3.29
06/01/2001 01:02:12.000	727972.35	4138309.94	3.32
06/01/2001 01:02:12.167	727972.35	4138309.95	3.35
06/01/2001 01:02:12.333	727972.36	4138309.96	3.26
06/01/2001 01:02:12.500	727972.36	4138309.96	3.23
06/01/2001 01:02:12.667	727972.36	4138309.97	3.18
06/01/2001 01:02:12.833	727972.36	4138309.98	3.18
06/01/2001 01:02:13.000	727972.37	4138309.99	3.32
06/01/2001 01:02:13.167	727972.37	4138310.01	3.18
06/01/2001 01:02:13.333	727972.37	4138310.02	3.26
06/01/2001 01:02:13.500	727972.36	4138310.04	3.24
06/01/2001 01:02:13.667	727972.36	4138310.06	3.32
06/01/2001 01:02:13.833	727972.36	4138310.07	3.32
06/01/2001 01:02:14.000	727972.36	4138310.09	3.32
06/01/2001 01:02:14.167	727972.36	4138310.10	3.26
06/01/2001 01:02:14.333	727972.36	4138310.11	3.26
06/01/2001 01:02:14.500	727972.36	4138310.12	3.35
06/01/2001 01:02:14.667	727972.36	4138310.13	3.35
06/01/2001 01:02:14.833	727972.36	4138310.13	3.23
06/01/2001 01:02:15.000	727972.36	4138310.14	3.26
06/01/2001 01:02:15.167	727972.36	4138310.16	3.23
06/01/2001 01:02:15.333	727972.35	4138310.17	3.24
06/01/2001 01:02:15.500	727972.35	4138310.18	3.24
06/01/2001 01:02:15.667	727972.35	4138310.19	3.24
06/01/2001 01:02:15.833	727972.34	4138310.21	3.26
06/01/2001 01:02:16.000	727972.34	4138310.22	3.26
06/01/2001 01:02:16.167	727972.34	4138310.23	3.29
06/01/2001 01:02:16.333	727972.34	4138310.25	3.29
06/01/2001 01:02:16.500	727972.34	4138310.27	3.23
06/01/2001 01:02:16.667	727972.34	4138310.28	3.24
06/01/2001 01:02:16.833	727972.34	4138310.30	3.24
06/01/2001 01:02:17.000	727972.34	4138310.31	3.21
06/01/2001 01:02:17.167	727972.33	4138310.33	3.29
06/01/2001 01:02:17.333	727972.31	4138310.34	3.29
06/01/2001 01:02:17.500	727972.30	4138310.36	3.24
06/01/2001 01:02:17.667	727972.29	4138310.38	3.26
06/01/2001 01:02:17.833	727972.28	4138310.39	3.29
